"sum_insured_grouped","society_person","insured_age","type_of_boat","boat_age_grouped","extension_coverage_rent","extension_coverage_flood","extension_coverage_regatta","extension_coverage_sea_valve_obstruction","boat_length_grouped","construction_material","region_of_residence","number_of_claims_in_past_3_years","number_of_claims_in_past_5_years","number_of_years_with_no_claims","number_of_years_with_no_claims_grouped","time_on_book","total","weight","observed","fitted"
"000.002.000","Person","19","Motor","gr 020","No","Yes","No","No","gr 005","VTR","Liguria","0","0","0","00","0","total",0.9945205479452,0,0.0567933513020016
"000.002.000","Person","20","Motor","gr 021","No","Yes","No","No","gr 005","VTR","Unknown","0","0","0","00","0","total",0.12602739726027,0,0.00703085573532006
"000.002.000","Person","23","Motor","gr 023","No","Yes","No","No","gr 005","VTR","Liguria","0","0","0","00","0","total",0.6,0,0.0273611113662224
"000.002.000","Person","24","Motor","gr 023","No","Yes","No","No","gr 005","VTR","Liguria","0","0","0","00","0","total",0.92054794520547,0,0.0467764831769687
"000.002.000","Person","24","Motor","gr 029","No","Yes","No","No","gr 005","VTR","Liguria","0","0","0","00","0","total",0.08219178082191,0,0.00417647171222899
"000.002.000","Person","25","Motor","gr 024","No","Yes","No","No","gr 005","VTR","Liguria","0","0","0","00","0","total",0.99999999999999,0,0.0496410132506167
"000.002.000","Person","26","Motor","gr 025","No","Yes","No","No","gr 005","VTR","Unknown","0","0","1","01","1","total",0.55890410958904,0,0.0271042518508518
"000.002.000","Person","28","Motor","gr 006","No","Yes","No","No","gr 005","VTR","Lombardia","0","0","0","00","0","total",0.35068493150684,1,0.0162306604956437
"000.002.000","Person","29","Motor","gr 021","No","Yes","No","No","gr 005","VTR","Piemonte","0","0","0","00","0","total",0.99999999999999,0,0.0452145873796465
"000.002.000","Person","31","Motor","gr 005","No","Yes","No","No","gr 006","VTR","Veneto","0","0","0","00","0","total",0.99931881128826,0,0.0431222687380769
"000.002.000","Person","31","Motor","gr 014","No","No","No","No","gr 005","Other","Lombardia","0","0","0","00","0","total",1.00273972602739,0,0.0379355664284843
"000.002.000","Person","32","Motor","gr 027","No","Yes","No","No","gr 005","VTR","Liguria","0","0","0","00","0","total",0.04931506849315,0,0.00207891466727519
"000.002.000","Person","33","Motor","gr 025","No","Yes","No","No","gr 006","VTR","Liguria","0","0","0","00","0","total",1.00273972602739,0,0.0412956900150811
"000.002.000","Person","33","Sail","gr 003","No","No","No","No","gr 006","Other","Lombardia","0","0","0","00","0","total",0.99782917883074,1,0.0606923191160542
"000.002.000","Person","34","Motor","gr 011","No","No","No","No","gr 006","VTR","Veneto","0","0","0","00","0","total",0.57534246575342,0,0.0231474108495413
"000.002.000","Person","35","Motor","gr 012","No","No","No","No","gr 006","VTR","Veneto","0","0","1","01","1","total",1.00273972602739,0,0.0394115662427665
"000.002.000","Person","36","Motor","gr 013","No","No","No","No","gr 006","VTR","Veneto","0","0","0","00","0","total",0.99999999999999,0,0.0383967934016616
"000.002.000","Person","36","Motor","gr 028","No","Yes","No","No","gr 005","VTR","Liguria","0","0","0","00","0","total",1.00273972602739,0,0.0337554569147531
"000.002.000","Person","37","Motor","gr 009","No","No","No","No","gr 005","VTR","Lombardia","0","0","0","00","0","total",0.99753724081143,0,0.0374182574436987
"000.002.000","Person","37","Motor","gr 013","No","Yes","No","No","gr 006","Rubberized textiles","Lombardia","0","0","0","00","0","total",1.00273972602739,0,0.0376134059787042
